driver,session,mode,d_start_m,d_end_m,length_m,mean_speed_kmh,peak_force_N,energy_kJ
HAM,2026_R1,SLM,54.4,108.0,53.6,312.3,2498.0,120.54
HAM,2026_R1,SLM,505.8,899.1,393.3,262.0,3951.0,685.24
HAM,2026_R1,SLM,1930.1,2120.8,190.7,252.6,5193.0,510.26
HAM,2026_R1,SLM,2306.1,2434.3,128.2,307.2,2556.0,306.74
HAM,2026_R1,SLM,2642.7,2707.0,64.3,323.5,1498.0,121.13
HAM,2026_R1,SLM,3472.8,3584.4,111.6,252.4,3480.0,257.34
HAM,2026_R1,SLM,4837.4,4952.5,115.1,232.2,4984.0,452.45
HAM,2026_R1,OTM,516.6,628.6,111.9,237.0,3951.0,326.61
HAM,2026_R1,OTM,1974.3,2024.6,50.2,248.4,5193.0,235.73
HAM,2026_R1,OTM,4837.4,4952.5,115.1,232.2,4984.0,452.45
